case,axis,in_range,score,accuracy_all,coverage,accuracy_accepted,clean_selective_same_coverage,auroc_error,credit
compound_spots20_haze3e7,compound,True,knn,0.9069432120674357,0.5461401952085182,0.9346060113728676,0.9295288383428107,0.5980446331704834,0.005077173030056836
compound_spots20_haze3e7_snr8,compound,True,margin,0.9069432120674357,0.8548136645962733,0.959647074088491,0.9861165174516673,0.89609289581245,-0.026469443363176248
compound_spots20_haze3e7_snr8,compound,True,ensemble,0.9069432120674357,0.8164374445430346,0.9495992392337997,0.9789430783860888,0.8293853963769129,-0.02934383915228911
compound_spots20_haze3e7_snr8,compound,True,mahalanobis,0.9069432120674357,0.8944099378881988,0.902405753968254,0.9479166666666666,0.43639190887315404,-0.045510912698412676
compound_spots20_haze3e7_snr8,compound,True,knn,0.9069432120674357,0.5461401952085182,0.9346060113728676,0.9295288383428107,0.5980446331704834,0.005077173030056836
absorbers,absorbers,False,margin,0.7503327417923691,0.857586512866016,0.7708225556130367,0.9857734092084842,0.7130394867617348,-0.21495085359544752
absorbers,absorbers,False,ensemble,0.7503327417923691,0.7496672582076309,0.8231986980322533,0.9880159786950732,0.8196285595988708,-0.16481728066281987
absorbers,absorbers,False,mahalanobis,0.7503327417923691,0.6227817213842058,0.9362422083704364,0.9360641139804096,0.873193255982477,0.00017809439002680616
absorbers,absorbers,False,knn,0.7503327417923691,0.6609361135758651,0.9353918442691727,0.9337137103540862,0.8708213775728484,0.0016781339150864216
white_snr12,noise,True,margin,0.9421029281277729,0.8982919254658385,0.9755525373502901,0.981479194962341,0.9167233891491583,-0.005926657612050912
white_snr12,noise,True,ensemble,0.9421029281277729,0.8735581188997338,0.9649568308786186,0.9714321990858303,0.861492944760647,-0.006475368207211729
white_snr12,noise,True,mahalanobis,0.9421029281277729,0.4665039929015084,0.9317641464574418,0.9369947693770804,0.42823467004430443,-0.005230622919638606
white_snr12,noise,True,knn,0.9421029281277729,0.7477817213842058,0.9258380302580836,0.9372589735983388,0.4146496918717472,-0.011420943340255119
white_snr8,noise,True,margin,0.9222493345164152,0.8956299911268856,0.9617337461300309,0.9819195046439628,0.9153502041152447,-0.020185758513931895
white_snr8,noise,True,ensemble,0.9222493345164152,0.8097826086956522,0.960142446240241,0.9800027393507739,0.8301869247865991,-0.019860293110532834
white_snr8,noise,True,mahalanobis,0.9222493345164152,0.0015527950310559005,0.9285714285714286,1.0,0.4580274035116915,-0.0714285714285714
white_snr8,noise,True,knn,0.9222493345164152,0.23358473824312334,0.9434947768281101,0.9710351377018044,0.43422428057847096,-0.02754036087369427
white_snr5,noise,True,margin,0.9048358473824313,0.8707852706299911,0.9515985224812126,0.9853521844351039,0.8920928503546792,-0.03375366195389129
white_snr5,noise,True,ensemble,0.9048358473824313,0.6086956521739131,0.9566326530612245,0.9958090379008746,0.7568389974004095,-0.039176384839650136
white_snr5,noise,True,mahalanobis,0.9048358473824313,0.0,,,0.45257861775390584,
white_snr5,noise,True,knn,0.9048358473824313,0.0,,,0.4503513361689385,
correlated_snr12,noise,True,margin,0.9309006211180124,0.9057231588287489,0.9668136174381582,0.9800391868723978,0.9224493238365151,-0.013225569434239581
correlated_snr12,noise,True,ensemble,0.9309006211180124,0.8762200532386868,0.958987341772152,0.9712658227848101,0.8765347336186868,-0.01227848101265816
correlated_snr12,noise,True,mahalanobis,0.9309006211180124,0.7689662821650399,0.9185056973892975,0.9425933939131689,0.44289487589883725,-0.024087696523871327
correlated_snr12,noise,True,knn,0.9309006211180124,0.7702972493345164,0.9128869690424766,0.9386609071274298,0.4161401794930003,-0.025773938084953207
correlated_snr8,noise,True,margin,0.9110470275066549,0.9058340727595386,0.9456348720460389,0.9800416309538387,0.896413625663137,-0.03440675890779976
correlated_snr8,noise,True,ensemble,0.9110470275066549,0.8014640638864241,0.9584832549128148,0.9806255189593136,0.8483452617543066,-0.022142264046498772
correlated_snr8,noise,True,mahalanobis,0.9110470275066549,0.3476042590949423,0.910338225909381,0.9505424377791959,0.4645195508914589,-0.04020421186981493
correlated_snr8,noise,True,knn,0.9110470275066549,0.3508207630878438,0.9073664242807461,0.9506797344293393,0.4305074603483986,-0.04331331014859319
correlated_snr5,noise,True,margin,0.868899733806566,0.8887533274179237,0.9069012854112068,0.9830275801822039,0.8559305569414764,-0.07612629477099708
correlated_snr5,noise,True,ensemble,0.868899733806566,0.6609361135758651,0.9478100352408122,0.9944621580802148,0.8057270857604948,-0.046652122839402566
correlated_snr5,noise,True,mahalanobis,0.868899733806566,0.059006211180124224,0.8947368421052632,0.9699248120300752,0.4993343260126474,-0.07518796992481203
correlated_snr5,noise,True,knn,0.868899733806566,0.03771073646850044,0.9205882352941177,0.9794117647058823,0.4813221425803701,-0.05882352941176461
