case,score,accuracy_all,coverage,accuracy_accepted,accuracy_declined,auroc_error,auroc_shift
absorbers_quenched,ensemble,0.6240017746228926,0.8256433007985803,0.6693981730252552,0.4090330788804071,0.7322241762067603,0.5844473523949142
absorbers_quenched,mahalanobis,0.6240017746228926,0.9602928127772848,0.6210441210441211,0.6955307262569832,0.4598234387960658,0.41469719192893006
absorbers_quenched,pca_recon,0.6240017746228926,0.9208074534161491,0.6276800770898578,0.5812324929971988,0.5030629231958238,0.4641321066108246
absorbers_quenched,knn,0.6240017746228926,0.9388864241348713,0.6249261665682221,0.6098003629764066,0.6126551608786429,0.4997972462344376
white_snr8,margin,0.8244232475598935,0.9110470275066548,0.8518383248112977,0.543640897755611,0.7828923432144593,0.5243616802407471
white_snr8,ensemble,0.8244232475598935,0.7849378881987578,0.8714144411473789,0.6529138731304795,0.7373494223698436,0.628006030785062
white_snr8,mahalanobis,0.8244232475598935,0.7194986690328306,0.8216432865731462,0.8315539739027283,0.47835543106967193,0.7002497015066974
white_snr8,pca_recon,0.8244232475598935,0.9070541259982253,0.8318659819026657,0.7517899761336515,0.569048715588463,0.5002950610725367
white_snr8,knn,0.8244232475598935,0.6139086069210293,0.8290876242095755,0.8170066072967538,0.5036305376673436,0.7520257538801178
white_snr5,margin,0.7458961845607808,0.9188110026619344,0.7675036214389184,0.5013661202185793,0.7120134224920855,0.5174242205417718
white_snr5,ensemble,0.7458961845607808,0.6335403726708074,0.8125,0.6307506053268765,0.6692896561459988,0.7394638039718799
white_snr5,mahalanobis,0.7458961845607808,0.4090505767524401,0.7456616052060738,0.7460585585585586,0.49496108093899027,0.8486695298272853
white_snr5,pca_recon,0.7458961845607808,0.9045031055900621,0.7522992029429798,0.6852497096399535,0.5539494287489919,0.5012781120559407
white_snr5,knn,0.7458961845607808,0.28726708074534163,0.7513513513513513,0.7436974789915967,0.49847390548761195,0.8946694833753107
correlated_snr8,margin,0.8828748890860693,0.9013975155279503,0.9207579672695951,0.5365579302587177,0.8730841708542714,0.506283865900629
correlated_snr8,ensemble,0.8828748890860693,0.8779946761313221,0.9144770085901971,0.6554545454545455,0.81259790905284,0.5263162122705647
correlated_snr8,mahalanobis,0.8828748890860693,0.84094942324756,0.8848588762859404,0.8723849372384938,0.45699187223998783,0.5403707763148468
correlated_snr8,pca_recon,0.8828748890860693,0.8933007985803016,0.8914824931710951,0.8108108108108107,0.5783712597076291,0.5036183886144636
correlated_snr8,knn,0.8828748890860693,0.8126663708961845,0.8837177562440289,0.8792184724689165,0.4944015770138572,0.5608081688946556
correlated_snr5,margin,0.8754436557231589,0.9042812777284827,0.9130381454679259,0.5202780996523755,0.8569911976063646,0.5113609400108178
correlated_snr5,ensemble,0.8754436557231589,0.842391304347826,0.911784068466096,0.6812104152005629,0.7867811001531052,0.5781970276247531
correlated_snr5,mahalanobis,0.8754436557231589,0.6909937888198758,0.8833065810593901,0.8578607322325915,0.48551005946746095,0.5957303967746583
correlated_snr5,pca_recon,0.8754436557231589,0.8840949423247559,0.8860870656128466,0.7942583732057417,0.58859169260633,0.5115039742026204
correlated_snr5,knn,0.8754436557231589,0.6384205856255546,0.8799513551077137,0.8674846625766871,0.5147462628777442,0.6386323013252985
