axis,case,n,accuracy,precision,recall,f1,brier,ece,auc,pos_rate,flips_bad,flips_good,amp_ratio,control_accuracy,control_brier,d_acc,d_brier
white noise,snr8,9016,0.921583850931677,0.9187045604758758,0.9250221827861579,0.9218525478059025,0.06047877108688896,0.035077097014511734,0.9779535434983375,0.503438331854481,489,100,1.0,,,-4.31455190771961,0.03412691915815419
white noise,snr5,9016,0.8876441881100267,0.904420273084934,0.8669032830523514,0.8852644693623287,0.08535335986917827,0.060942778359161814,0.9608969836922076,0.47925909494232477,803,108,1.0,,,-7.70851818988465,0.059001507940443496
correlated noise,snr12,9016,0.933340727595386,0.9243971323050185,0.9438775510204082,0.9340357809241576,0.05303131820976939,0.036461629808782925,0.9819505292375815,0.5105368234250222,397,114,1.0,,,-3.1388642413487156,0.026679466281034615
correlated noise,snr10,9016,0.9135980479148181,0.9118621603711067,0.9157054125998225,0.9137797454344216,0.0706664540506038,0.054460779377439414,0.9720068788288432,0.5021073646850044,579,118,1.0,,,-5.113132209405502,0.04431460212186902
correlated noise,snr8,9016,0.8914152617568767,0.9031299977153301,0.8768855368234251,0.8898142937535172,0.08828334567282849,0.0643569957256552,0.9624630401715101,0.4854702750665484,796,135,1.0,,,-7.331410825199647,0.06193149374409371
correlated noise,snr5,9016,0.8294143744454303,0.8586956521739131,0.7885980479148181,0.8221554116558741,0.13897150095133712,0.12344499604370585,0.9218194569213047,0.45918367346938777,1342,122,1.0,,,-13.531499556344285,0.11261964902260234
gain ramp,x0.25,9016,0.9649511978704526,0.9519189305735231,0.9793700088731144,0.965449376776733,0.026725803667843637,0.00921489573364245,0.9940057515811386,0.514418811002662,47,49,0.9925702394118082,,,0.02218278615794267,0.00037395173910886176
gain ramp,x0.5,9016,0.9626220053238687,0.9499460625674218,0.9767080745341615,0.9631412009187357,0.02866795274899153,0.009601059791112072,0.9934940663507408,0.5140860692102928,96,77,1.003476435862324,,,-0.2107364685004498,0.002316100820256753
gain ramp,x1.0,9016,0.953416149068323,0.9401378122308355,0.9685004436557232,0.9541083916083916,0.03497209694136549,0.011854078482333661,0.9907322159796367,0.5150842945874001,193,91,1.004123353912089,,,-1.1313220940550206,0.008620245012630711
gain ramp,x2.0,9016,0.9356699201419698,0.9182282793867121,0.9565217391304348,0.9369839200347675,0.049679845606021164,0.021771977535622534,0.9794587793838263,0.520851818988465,380,118,1.0315650429967886,,,-2.905944986690334,0.02332799367728639
baseline offset,x0.25,9016,0.9647293700088732,0.9511197243755384,0.9798136645962733,0.9652534965034965,0.026351851928734776,0.010277355819078663,0.9943817714578598,0.5150842945874001,0,0,1.0,,,0.0,0.0
baseline offset,x0.5,9016,0.9647293700088732,0.9511197243755384,0.9798136645962733,0.9652534965034965,0.026351851928734776,0.010277355819078663,0.9943817714578598,0.5150842945874001,0,0,1.0,,,0.0,0.0
baseline offset,x1.0,9016,0.9647293700088732,0.9511197243755384,0.9798136645962733,0.9652534965034965,0.026351851928734776,0.010277355819078663,0.9943817714578598,0.5150842945874001,0,0,1.0,,,0.0,0.0
